kana,hina,romaji,english,explanation
イエーイ,いえーい,ie-i,*yes!* •yay!* •alright!*,
イエイ,いえい,iei,*yes!* •yay!* •alright!*,
イジイジ,いじいじ,iji iji,*paranoid face* *down*,"A paranoid expression in the eyes, a down mood."
イキイキ,いきいき,iki iki,*lively*,
イライラ,いらいら,ira ira,*irritated**pissed off**grr**grumble**annoyed**frustrated*,"Expresses irritation, or being upset with something in a semi-angry manner."
イロイロ,いろいろ,iro iro,*various*,"Literally translates into the adjective ""various"" or 「色々な」.  Often slurred as 「いろんな」."
イッラー,いっらー,irra-,*irritated* *annoyed* *pissed*,SFX for annoyance or slight anger.  Slightly more emphasis than a typical *ira* or 「いらー」.
イソイソ,いそいそ,iso iso,*shuffle shuffle*,"To move about happily.  Comes from the adjective ""busy"" or 「忙しい」."
イタイ,いたい,itai,*ouch*,"SFX for exclamation of pain.  Comes from the adjective ""itai"" or 「いたい」or ""hurt""."
イヤァア,いやぁあ,iyaaa,(1) *noooooooo**kyaaa*;(2) *scream* *cry**screech*,"(1) Can be used in various situations.  To emphasize great dislike or for shock;(2) SFX for a vocal expression of dislike, shock, or fear"
イザイザ,いざいざ,iza iza,*confused*,In a state of turmoil.
ウッ,うっ,u,(1) *holds breath**groan**growl**repulsed*;(2) *ugh* *urgh**dammit**crap*;(3) *sob* *cry*,(2) Exclamation of dismay.
ウッウッ,うっうっ,u u,*sob sob* *cry*,SFX for crying or catching of breath from sobbing.
ウーッ,うーっ,u-,*growl*,Dog growling.
ウーッ,うーっ,u-,*urrgh!* *grrr!*,Sound of anger.
ウー,うー,u-,(1) hmm;(2) *urrgh!* *grrr!*,(2) Sound of anger.
ウッ。。。！,うっ。。。！,u-,*uuhn...!**uff**ugh*,"Sudden realization, pain."
ウーム,うーむ,u-mu,hmmm,
ウーン,うーん,u-n,(1) *oooh* *well**hmm* *um*;(2) *yes*,
ウーン,うーん,u-n,(1) *uummm* *groan* *ummm*;(2) *mmm*,"(2) Aka the ""mmm, yummy!"" groan sound."
ウアアアン,うあああん,uaaan,*waaah*,"SFX for crying or calling out loud, or for an expression of embarrassment or flushed face."
ウチュ,うちゅ,uchu,*kiss*,"See also *buchu*, *chu*, and *nchu*."
ウエーッ,うえーっ,ue-,"uhhh, yuuuukkkkk *throw up* *vomit*",Usually a throwing up SFX for times when you see something gross.
ウエエ,うええ,uee,*waah*,To cry or sob uncontrollably.
ウフフフ,うふふふ,ufufufu,*hehehe*,"A high-pitched, female type of laughter. (Hehehe or similar)"
ウゴゴ,うごご,ugogo,*choking*,
ウグッ,うぐっ,ugu,*agh*,"SFX for surprise, not necessarily a scare but more like when one doesn't know what to say when they lose an argument."
ウヒヒー,うひひー,uhihi-,*hehehe*,
ウホウホ,うほうほ,uho uho,*oog oog**ooga ooga*,SFX for the call of an ape or monkey.
ウヒョヒョ,うひょひょ,uhyohyo,*hehehe*,
ウィーン,うぃーん,ui-n,*whine*,"Like when microphone is too close to the speakers, see also *ジーッ* (ji-t)."
ウカウカ,うかうか,uka uka,*daydreaming*,Not paying attention.
ウキッ,うきっ,uki,(1) *kye* *eh*;(2) *screech*,A monkey-cry SFX.  Often used by characters who resemble monkeys and to replace 「何？」.Ex: Naruse off Harlem Beat.
ウキ,うき,uki,(1) *kye* *eh*;(2) *screech*;(3) *yay*,Attempting to imitate a monkey.
ウキウキ,うきうき,uki uki,(1) *excited*;(2) *buoyant* *floating*,(2) A happy type of floating feeling.
ウッカリ,うっかり,ukkari,(1) *oh crap!**gah**damn**oops*;(2) *slip**careless*;(3) *off guard*,"Where you forget to do something because you were daydreaming.  An accident occurring because you weren't paying attention.  Inadvertently, carelessly."
ウックン,うっくん,ukkun,*swallow* *gulp*,See also *gokun* and *kokun*.
ウマウマ,うまうま,uma uma,*completely taken in*,"Not with it, out of it."
ウム,うむ,umu,*I see* *hmm*,
ウン,うん,un,*nod* *understands* *mm hmm* *yup*,Nodding in understanding or acknowledgement.
ウンウン,うんうん,un un,(1) *groan* *agony*;(2) *nod nod*,"(1) Groaning with pain, to agonize;(2) Nodding in agreement repeatedly."
ウネウネ,うねうね,une une,*winding* *meandering*,
ウンギリ,うんぎり,ungiri,*fed up* *tired of*,Tired of (something).
ウニ,うに,uni,*yawn* *ahh*,Sound you make with your mouth when waking up.
ウニー,うにー,uni-,*nya-*,As used by Kikumaru in Prince of Tennis (PoT).
ウンショ,うんしょ,unsho,*off we go* *alright then*,Like something to say when you have to lift something heavy as よいしょ.Sound made by someone who is exerting physical effort.
ウンッショ,うんっしょ,unssho,*off we go* *okay* *let's go*,Like something to say when you have to lift something heavy as よいしょ.  Effort.Sound made by someone who is exerting physical effort.
ウニュ,うにゅ,unyu,*what?* *nani?* *nya?*,Another SFX often used to replace 「何？」.  Emphasis on cuteness.
ウンザリ,うんざり,unzari,*fed up**fed up with**sick and tired*,To express exasperation with something or someone.
ウオーッ,うおーっ,uo-,*wow* *whoa* *omg*,See also *uwwa*.
ウォーン,うぉーん,uo-n,*howl*,Wolf howling.
ウオオ,うおお,uoo,*waaahhh!!**gaaahhh!**screeeaam*,A very powerful scream.
ウップ,うっぷ,uppu,(1) *burp*;(2) *ugh* *geh*;(3) *sick* *uhh* *queasy*,Expression of eating too much and getting sick.
ウプッ,うぷっ,upu,*gag* *ugh*,"SFX for a choked gasping sound, usually when you suddenly smell something nasty and want to throw up."
ウプププ,うぷぷぷ,upupupu,*laugh**heh heh heh*,Strange laugh.  See also *fu fu fu*.
ウラ,うら,ura,*kinda lonely**all by (his/her) lonesome**by themselves*,
ウラウラ,うらうら,ura ura,(1) *swaying* *wobble wobble*;(2) *refreshingly bright* *bright*,"(1) Like someone unable to walk straight, either from depression, shock, or drunkenness;(2) As in the weather."
ウラー,うらー,ura-,*roar*,"War cry.  Yelled when charging, or when one is about to do something involving substantial, physical effort.See also *dorya*, *ora*, *orya*, and *sorya*."
ウロウロ,うろうろ,uro uro,(1) *wander around**wandering**hanging around**hanging about**loitering*;(2) *pace pace*,(1) SFX for one meandering around;(2) SFX for walking the same path several times
ウルウル,うるうる,uru uru,*sob sob* *cry*,
ウリャー,うりゃー,urya-,*yaahh* *waahh* *rawr* *roar*,"War cry.  Yelled when charging, or when one is about to do something involving substantial, physical effort."
ウリャァ,うりゃぁ,uryaa,war-cry,
ウッサラ,うっさら,ussara,*crying*,Faint tears.
ウッスリ,うっすり,ussuri,*faintly* *thinly*,
ウス,うす,usu,*muttering* *complaining*,Muttered complaining.
ウスト,うすと,usuto,*mutter*,"Muttered complaining.  See also *boso*, *guzu*, *gyaa*, *musu*."
ウト,うと,uto,*nod* *nodding off*,When you are drifting off to sleep.
ウトウト,うとうと,uto uto,*nod nod**doze off*,"When you are drifting off to sleep, see also *toro toro*."
ウトウト,うとうと,uto uto,*doze**falls asleep**nods off*,"SFX for falling asleep, such as a light sleep (not into the dream state yet); Nodding off."
ウツラ,うつら,utsura,*nod* *nod* half-asleep; *faintly* (seeing something),
ウツラウツラ,うつらうつら,utsura utsura,*nod nod* *half-asleep*,
ウットリ,うっとり,uttori,*dazed**enchanted**enthralled*,"When you become enraptured by beauty.  In rapture, in ecstasy, captivated.  A rapt stare.See also *ukkari*."
ウワー,うわー,uwa-,*what* *?!* *flabbergasted*,"Flabbergasted exclamation, exclamation of disbelief."
ウワーン,うわーん,uwa-n,*crying**bawling**waaah*,SFX for one crying very hard.
ウワァー,うわぁー,uwahhh-,*wahhh!* *agghhh!*,
ウッワー,うっわー,uwwa-,*wow!* *wow*,See also *uwa-*.
ウヨウヨ,うようよ,uyo uyo,*squirm squirm* *wiggling*,"A squirming, somewhat writhing mass."
ウゾウゾ,うぞうぞ,uzo uzo,*menace*,See also *gi gi* and *go go go*.
ウズウズ,うずうず,uzu uzu,*itching to do something**impatient**excited* *anticipation*,See alsoムズムズ.
ヴォンッ,ゔぉんっ,von,*voom* *vroom* *screech* *roar*,SFX for the loud screaming of tires and rough traction.
ヴォオ,ゔぉお,voo,*shoom* *whoom* *whoosh*,"SFX for a whirling, powerful force."
ヴー,ゔー,vu-,(1) *mmpphh* *vvmmpph*;(2) *buzz* *bzz* *vibrate*,"(1) SFX for trying to speak through a gag;(2) SFX for a vibrational sound, like a phone going off while on ""vibrate"""
エッ,えっ,e,*what?**huh?**eh?*,SFX for an inquisitive grunting sound.
エ,え,e,*what?**huh?**eh?*,"SFX for a light, inquisitive grunting sound."
エ！,え！,e,*what?**huh?**eh?*,"SFX for a light, inquisitive grunting sound."
エッ,えっ,e,*eh?*,
エー,えー,e-,*awwwww* *eeeeeehhhhhh*,
エーン,えーん,e-n,*cry* *sob*,
エーット,えーっと,e-tto,*uuuuhmm...* *umm* *err*,
エッチャラオチャラ,えっちゃらおちゃら,ecchara o chara,*unsteadily* *wobbly* *wobble* *swaying*,To walk in an unbalanced manner.
エエッ,ええっ,ee,*let's see...**hmm* *umm*,SFX for thinking or pondering over something.
エヘン,えへん,ehen,(1) *ahem*;(2) *See what I can do?* *showing off* *see?*,"In a very full-of-themselves, confident (or over-confident) manner."
エッヘ,えっへ,ehhe,(1) *ahem* *cough*;(2) *chuckle*,(1) Attention-drawing cough;(2) Mischievous chuckle.
エッヘン,えっへん,ehhen,(1) *ahem* *cough*;(2) *heh heh*,"(1) Attention-drawing cough;(2) A prideful or self-satisfied laugh, a mischievous laugh."
エイ,えい,ei,(1) *son of a bitch!*;(2) *shriek* *aiiee!*,(1) Yelled when getting down to serious physical business.
エイ,えい,ei,*take that!* *there!*,A grunt let out when you hit/perform a physical task.
エヤッ,えやっ,eya,*hyaah!**take that!*,Exclamation made when about to attack (usually a rather flamboyant move).
オッ,おっ,o,oh! eh!,
オー,おー,o-,(1) *roar*;(2) *howl*;(3) *impressed*,"(1) Menacing roar, animal or mechanical (such as roar of an engine);(2) Wind howling;(3) Sound of being impressed."
オーホッホッ,おーほっほっ,o-hohho,*oooh ho ho ho**cackle cackle**ah ha ha ha**bwa ha ha ha*,"SFX for extreme, evil laughter."
オチオチ,おちおち,ochi ochi,*can't sleep* *worry*,"Used with a negative verb, unable to sleep due to worries."
オドオド,おどおど,odo odo,*at a loss* *insecure**very nervous**shaky*,"Timorous, insecure."
オッフオッフ,おっふおっふ,offu offu,*bwahaha**mwahaha**evil laughter**evil cackling*,"SFX for loud, evil laughter."
オギャーオギャー,おぎゃーおぎゃー,ogya- ogya-,*crying*,
オギャァオギャァ,おぎゃぁおぎゃぁ,ogya- ogya-,*waaa waaa*,SFX for crying baby.
オッホン,おっほん,ohhon,ahem,
オイ,おい,oi,*oi* *oy* *hey*,
オイオイ,おいおい,oi oi,*wailing* *blubbering* *crying*,
オイショ,おいしょ,oisho,*oof!* *umph!,"Effort, strain.See also *oissho*."
オイッショ,おいっしょ,oissho,*oof!* *umph!,"Effort, strain."
オメオメ,おめおめ,ome ome,*disgrage* *shame**ashamed* *embarrassed**humiliated*,"Unbearable disgrace, unbearable shame.To be deceived in a shameless manner."
オンオン,おんおん,on on,*crying*,
オオー,おおー,oo-,*ooh!**aah!**whoa!!*,SFX for an audience with their attention caught by something.
オォォォ,おぉぉぉ,oooo,*roooaarr*,"Ominous presence, SFX for anger pulsing through atmosphere."
オラオラ,おらおら,ora ora,hey hey hey!; oi oi oi,Said when you bully another.
オロオロ,おろおろ,oro oro,(1) *confused**dizzy**lost*;(2) *uh oh*;(3) *panic*,"(1) SFX for confusion or a bewildered state of mind, such as when looking around, not knowing what to do;(2) SFX for bewilderment for the changelessness of the situation."
オリャァ,おりゃぁ,oryaa,war-cry,"What you yell as you attack; a fighting taunt or war cry.  See also *dorya*, *ora*, *sorya*, and *uraa*."
オソルオソル,おそるおそる,osoru osoru,*timidly*,Because you are scared.
オタオタ,おたおた,ota ota,*not sure what to do**don't know what to do**uncertain**tentative*,
オット,おっと,otto,*whoops* *oops*,
オットット,おっとっと,ottotto,*oops* *whoops*,SFX for an accident.
オズオズ,おずおず,ozu ozu,*hesitantly**tentatively**unsure*,
ガ,が,ga,(1) *impact*;(2) *grab*;(3) *pow* *bang*,(3) As if shot from a gun
ガッ,がっ,ga,(1) *impact* *crunch*;(2) *punch* *hit* *strike*;(3) *clang* *crash* *clank*;(4) *thud* *lands*;(5) *snap*,"(2) Fighting SFX;(3) SFX for metal-on-metal impact, like two swords banging against one another in a fight;(5) Like the snap of jaws or teeth, usually in anger or with enthusiasm"
ガガ,がが,ga ga,(1) *grab grab*;(2) *clack clack*;(3) *munch crunch* *munch munch*,"(2) A very traditional way of brushing rice from a bowl into one's mouth using a pair of chopsticks, hence the ""clack clack"" sound of the chopsticks hitting the bowl."
ガッ ガッ,がっ がっ,ga ga,*bish bash**wham bam*,"SFX for crashing or smashing with force, often used in a fight."
ガー,がー,ga-,(1) gaaaahh;(2) *quack*;(3) *mystical*;(4) *whirl*,"(1) Usually to explain sounds of large machines at work.  Ex. vacuum cleaners.  Or when a person is emotionally built up about something;(2) Sound of a duck;(3) A mystical sound;(4) SFX for the movement of something mechanical, like that of a robot."
ガーゴー,がーごー,ga- go-,*snore snore* *snoring* *snore*,Or *gaa goo*.
ガーン,がーん,ga-n,(1) *shock*;(2) *gooongg*;(3) *gloom*,"(2) Sound of a gong;(3) A state of depression, disappointment, or dramatized desperation."
ガバ,がば,gaba,(1) *grabs* *glomps*;(2) *suddenly*;(3) *jumps*;(4) *rising*;(5) *hug*,"(1) See also *gashi*, *gu*, *gui*, *gya*, *gyu*, *ku*, and *kyu*;(2) Sudden, forceful action;(3) Jumping up from stationary position."
ガバッ,がばっ,gaba,*fwap*,SFX for the flapping motion of cloth-like material.
ガバガバ,がばがば,gaba gaba,(1) *gurgling*;,(2) Too big (as of clothes).
ガビーン,がびーん,gabi-n,*freeze* *shock*,To turn motionless from surprise.
ガビン,がびん,gabin,*freeze* *shock*,SFX for hesitation or mortification from something shocking or surprising.
ガボガボ,がぼがぼ,gabo gabo,*squelch squelch**squish squish*,"SFX for a soggy and squishy texture, such as walking around with soggy wet shoes."
ガチャ,がちゃ,gacha,(1) *door opening**opens**ker-chak**click*;(2) *pull*;(3) *clatter* *rattle*;(4) *click* *shut*;(5) *clack*,"(1) SFX for a door opening, or a latch being opened or closed;(2) SFX for pulling a switch."
ガチャガチャ,がちゃがちゃ,gacha gacha,(1) *clatter*;(2) *click* *type**clack clack*;(3) *rattle rattle*,"(1) Like a server trying to hold several plates at once;(2) SFX for typing noises;(3) SFX for fragile, porcelain-like rattling"
ガチャン,がちゃん,gachan,*locks* *locking*,SFX for something being locked.
ガチャリ,がちゃり,gachari,*click* *kachak*,"The click of something opening, such as a latch, a door, or even a belt.  See also *kacha*."
ガチッ,がちっ,gachi,*ker-chack* *open* *ka-cha*,"Like the opening of a latch, or opening a door with a handle and lock."
ガチガチ,がちがち,gachi gachi,(1) *freezing**totally frozen**shivering**shiver shiver**shake shake*;(2) *chatter*;(3) *greedy*;(4) *thinking hard*,(1) SFX when something is frozen or when you feel like you're going to freeze from the cold;(2) One's teeth chattering;(3) To be tight-fisted.
ガチィッ,がちぃっ,gachii,*ker-chack**ka-cha*,"SFX for metallic clinking, or metallic items clacking against one another in an open-closed, repetitive motion."
ガチン,がちん,gachin,*clunk*,
ガチリ,がちり,gachiri,(1) *spends carefully*;(2) *hold firmly*;(3) *firm* *strong*,
ガガ,がが,gaga,(1) *pow pow**bang bang*;(2) *don don**bam bam*;(3) *rumble rumble*;(4) *ratatat-tat*,"(1) SFX for shooting missiles from a weapon, or several small to medium explosions at once;(2) SFX for several mid-level sounds of impact happening closely together;(3) SFX for several small explosions or rocks falling;(4) SFX for several mechanical explosions, like a machine gun."
ガギ,がぎ,gagi,*clang*,
ガハッ,がはっ,gaha,(1) *gah* *gack*;(2) *splurt*,"(1) A gasp choke sound;(2) Choking, or spitting something out of one's mouth (like choking on blood)"
ガハハ,がはは,gahaha,*evil laugh*,"Same as bwahaha, fwahaha, gwahaha."
ガジガジ,がじがじ,gaji gaji,*grind* *munch* *chew chew*,Like chewing on a toothpick between your teeth.
ガキィッ,がきぃっ,gakii,*clash* *clang*,"SFX for a clashing of swords, or opposing powers in a fight."
ガキン,がきん,gakin,*clash* *clang*,
ガッカリ,がっかり,gakkari,*disappointed**heartbroken**pained*,
ガックリ,がっくり,gakkuri,(1) *hangs head* *droop* *disheartened*;(2) *declining* *falling* *very low*,"(1) SFX for a feeling of dejectedness or disappointment;(2) SFX for a more statistical, numerical ""low"""
ガックウッ,がっくうっ,gakkuu,*slump**sink* *sag**depressed**gloom*,"SFX for extreme and emotional show of disappointment, and/or physical notion of shoulders sagging.  Stronger than *gaku*."
ガコッ,がこっ,gako,*clomp* *clunk*,
ガコンッ,がこんっ,gakon,*thunk**ga-thunk**ka-thunk**ker-thunk*,"SFX for a light knocking sound of wood material, like when throwing something away or putting something into a drawer."
ガクッ,がくっ,gaku,*twist* *bend*,Bend with a jerk.
ガク,がく,gaku,(1) *sag* *sink* *slump*;(2) *shaking* *wobbling* *lose balance*;(3) *scratching*;(4) *slip*;(5) *paddle*,(1) Often when you realize something and get depressed from it.  Notion of shoulders sagging;(2) See also *gaku*;(4) Running a hand through someone's hair;(5) Paddling a hand through water.
ガクガク,がくがく,gaku gaku,(1) *shiver* *tremble*;(2) *shake* *wobble*,
ガクン,がくん,gakun,(1) *shaking* *wobbling* *lose balance*;(2) *collapse* *fall* *lose heart*,(1) See also *gaku*.
ガクンガクン,がくんがくん,gakun gakun,*rock* *tilt*,"SFX for a rocking, swaying motion."
ガクント,がくんと,gakunto,*collapse* *fall*,
ガクリ,がくり,gakuri,*collapse* *fall*,
ガン,がん,gan,(1) *crash*;(2) *smack* *bap* *bonk*;(3) *thud* *thump* *thunk*,(1) See also *ban* and *ka-n*.
ガンッ,がんっ,gan,*bam* *wham*,"SFX for a loud, strong impact."
ガンガン,がんがん,gan gan,(1) *throb*;(2) *bang bang*;(3) *loudly*;(4) *nagging*;(5) *throb throb**throbbing*,"(1) Throbbing headache;(2) Something knocking ferociously;(3) Ex: background construction noise is being loud;(4) Ex: nagging mother;(5) Ex: a serious headache, or the pain of a stubbed toe."
ガオー,がおー,gao-,*raahhooo**graah**growwl*,"SFX for beasts crying, like lions."
ガッポガッポ,がっぽがっぽ,gappo gappo,*making lots of money*,
ガッポリ,がっぽり,gappori,*making lots of money*,
ガプ,がぷ,gapu,*big bite* *chomp*,See also *paku*.
ガラ,がら,gara,(1) *crumble*;(2) *rocks falling**tumble* *crash*;(3) *rattle* *slam*,"(2) SFX for lots of large things falling all over the place;(3) SFX for a door opening or closing, especially the Japanese-style sliding doors"
ガラッ,がらっ,gara,(1) *rattle* *slam*;(2) *slide* *swish*,SFX for opening a window/sliding door.
ガラガラ,がらがら,gara gara,(1) *clattering**rattling**rumble*;(2) *gurgle*;(3) *rattle*,"(1) Ex: rattling the shutters, or an earthquake causing things to rattle;(2) See also *goro goro*;(3) Ex: rattle as in the toy used to amuse babies."
ガラン,がらん,garan,*clatter* *rattle*,See also *bara bara* and *chara chara*.
ガリ,がり,gari,*biting lip*,
ガリガリ,がりがり,gari gari,(1) *thin* *anorexic*;(2) *scribble* *scribble*;(3) *krrrk krrk* *scratch*;(4) *ke-runch ke-runch**crunch crunch*,(1) State of something being very thin;(2) SFX of someone writing something down ferociously;(3) SFX of a cat sharpening its nails;(4) SFX for a harsh chewing sound.
ガルル,がるる,garuru,*growwl*,SFX for an animal-like growling.
ガサッ,がさっ,gasa,(1) *crumbles off* *thud*;(2) *moves*,(1) Falling off by crumbling (with a thud);(2) To move in large numbers.
ガサ,がさ,gasa,(1) *rustle* *stealthy movement*;(2) *quiet rustle*;(3) *shift*,"(2) Commonly used for quiet footstep in the grass, also can be paper, cloth, or other material rustling;(3) SFX for someone shifting their weight (ie. shifting from one foot to the other)."
ガサガサ,がさがさ,gasa gasa,*murmur* *rustle*,"SFX for the sound of rustling in a natural environment, such as the sound of leaves or bushes being moved.See also *sara sara*.  Slightly rougher than *kasa*."
ガサゴソ,がさごそ,gasa goso,*rumbling*,
ガシャッ,がしゃっ,gasha,(1) *crunching*;(2) *topple over**clatter*,
ガシャ,がしゃ,gasha,(1) *clang* *clunk*;(2) *ker-shak* *ker-chak*;(3) *crash* *ka-shang*;(4) *smash* *shatter*,"(3) SFX for an explosion with something shattering;(4) SFX for something cracking and breaking into several pieces, such as glass."
ガシャーン,がしゃーん,gasha-n,(1) *crash* *smash*;(2) *fall* *collapse*,"(1) Slightly more emphasis than *gashan*.  Can also be associated or replaced with more description, i.e. *crack crack* or *splatter* depending on subject."
ガシャーンッ,がしゃーんっ,gasha-n,*crash* *smash*,See also *gasha-n* (ガシャーン) and *gashan* (ガシャン).
ガシャァァ,がしゃぁぁ,gashaaa,*swords withdrawn**unsheath*,SFX especially for prepping for battle.
ガシャン,がしゃん,gashan,(1) *crack* *crash**ka-crash*;(2) *clatter* *shatter*;(3) *clang*;(4) *fall* *shwip*,"(1) SFX for physical impact, such as the crashing of a vase.  See also *gashin* and *gochin*;(2) Impact.  See also *gashin* and *gochin*;(3) Impact.  See also *gashin* and *gochin*;(4) SFX for free-fall, or quickly falling through the sky."
ガシッ,がしっ,gashi,(1) *grab*;(2) *tug*;(3) *strongly built*,(1) See also *gaba* and *gyu*.
ガシーンッ,がしーんっ,gashi-n,*grab*,SFX for grasping something desperately and suddenly.
ガシバッ,がしばっ,gashiba,*hug**glomp*,SFX for an embrace.
ガシン,がしん,gashin,(1) *crash* *impact*;(2) *grab*,(1) See also *gashan* and *gochin*;(2) SFX for grasping something desperately and suddenly
ガッシャン,がっしゃん,gasshan,*crash* *smash*,"Impact, usually resulting in something being broken."
ガタッ,がたっ,gata,(1) *clattering*;(2) *sudden decline*,"(1) Like when shoving a chair aside to stand up;(2) Sudden decline, as in health."
ガタ,がた,gata,(1) *rattle* *clunk*;(2) *reel* *fall* *collapse* *fall over*;(3) *punch* *hit*;(4) *creak*,"(2) To reel in shock from a revelation, to fall or collapse."
ガタガタ,がたがた,gata gata,(1) *rattle rattle*;(2) *shake like a leaf**shaky**tremble*;(3) *clang clang*;(4) *complaining* *rattling*,"(2) Can be figurative as well: Ex: the death of an official shook the nation;(4) Giving unwanted advice, talking too much."
ガタゴト,かたごと,gata goto,*clackity clack*,Like a train over railroad tracks.
ガタピシ,がたぴし,gata pishi,(1) *falling apart* *disorderly*;(2) *hard to move*;(3) *falling apart*,"(1) Physically falling apart, poor structure;(2) To move less easily;(3) Human relation (or system) going to shambles"
ガターン,がたーん,gata-n,*thump* *clatter*,"Sound of something falling, usually something hard against another hard surface (like a table or chair falling to the ground)."
ガタン,がたん,gatan,(1) *rattle* *clatter*;(2) *fall* *collapse* *reel*,"(1) Clattering, like pushing a chair back to stand up;(2) To reel in shock from a revelation, to fall over or collapse."
ガタンガタン,がたんがたん,gatan gatan,(1) *rattle rattle* *gachunk gachunk*;(2) *tromp tromp*,"(1) SFX for rattling like a train on train tracks;(2) SFX for bustling and hustling, general SFX for making a racket"
ガタンゴトン,がたんごとん,gatan goton,*clangity clang**clickety-clack*,"SFX for something mechanical moving, like the sound of a tram passing by and/or running on train tracks.See also *chin chin*."
